0529+483 1.16	Q	LSP	Flat
0735+178 0.45	B	LSP	Flat
0738+313 0.631	Q	LSP	Flat
1044+719
1040+244
3C454.3 0.859	Q	LSP	Flat
0748+126 0.889	Q	LSP	Flat
0827+243 0.942	Q	LSP	Flat
0446+112 2.153	Q	LSP	Flat
VR422201
0716+714        B	ISP	Flat
1954+513
2013+370 0.859	Q	LSP	Flat
OJ287 0.306	B	ISP	Flat
1823+568 0.664	B	LSP	Flat
3C273B 0.1583	Q	LSP	Flat
1308+326 0.997	Q	LSP	Flat
0743-006 0.996	Q
0422+004 0.268	B	LSP	Flat
0642+449 3.396	Q	LSP	Flat
0754+100 0.266	B	ISP	Flat
1005+066
3C274
0235+164 0.94	Q	LSP	Flat
1642+690 0.751	Q	LSP	Flat
3C279 0.536	Q	LSP	Flat
1749+096 0.322	B	LSP	Flat
1803+784 0.6797	B	LSP	Flat
0727-115 1.591	Q		Flat
0657+172
0234+285 1.206	Q	LSP	Flat
0406+121
0836+710 2.218	Q	LSP	Flat
3C418 1.686	Q	LSP	Flat
0212+735 2.367	Q	LSP	Flat
2022+542
0528+134 2.07	Q	LSP	Flat
0119+115 0.57	Q		Flat
1633+382 1.813	Q	LSP	Flat
0808+019 1.148	B	LSP	Flat
1849+670 0.657	Q	LSP	Flat
1637+574 0.751	Q	LSP	Flat
2010+723
1739+522 1.379	Q	LSP	Flat
